wavelength_nm,irradiance
762.00,4.76106000E+14
762.01,4.74043000E+14
762.02,4.75146000E+14
762.03,4.78286000E+14
762.04,4.81410000E+14
762.05,4.83508000E+14
762.06,4.84539000E+14
762.07,4.84585000E+14
762.08,4.83245000E+14
762.09,4.78734000E+14
762.10,4.67519000E+14
762.11,4.47498000E+14
762.12,4.24318000E+14
762.13,4.11610000E+14
762.14,4.18849000E+14
762.15,4.40547000E+14
762.16,4.62666000E+14
762.17,4.76586000E+14
762.18,4.82680000E+14
762.19,4.84657000E+14
762.20,4.85031000E+14
762.21,4.84284000E+14
762.22,4.80947000E+14
762.23,4.71855000E+14
762.24,4.55009000E+14
762.25,4.35186000E+14
762.26,4.24416000E+14
762.27,4.31196000E+14
762.28,4.50503000E+14
762.29,4.69665000E+14
762.30,4.81208000E+14
762.31,4.85856000E+14
762.32,4.87073000E+14
762.33,4.87065000E+14
762.34,4.86564000E+14
762.35,4.85803000E+14
762.36,4.85052000E+14
762.37,4.84598000E+14
762.38,4.84532000E+14
762.39,4.84694000E+14
762.40,4.84781000E+14
762.41,4.84501000E+14
762.42,4.83817000E+14
762.43,4.83181000E+14
762.44,4.83287000E+14
762.45,4.84316000E+14
762.46,4.85686000E+14
762.47,4.86710000E+14
762.48,4.87184000E+14
762.49,4.87259000E+14
762.50,4.87086000E+14
762.51,4.86710000E+14
762.52,4.86164000E+14
762.53,4.85548000E+14
762.54,4.85035000E+14
762.55,4.84808000E+14
762.56,4.84959000E+14
762.57,4.85428000E+14
762.58,4.86041000E+14
762.59,4.86611000E+14
762.60,4.87017000E+14
762.61,4.87238000E+14
762.62,4.87299000E+14
762.63,4.87158000E+14
762.64,4.86559000E+14
762.65,4.85048000E+14
762.66,4.82418000E+14
762.67,4.79431000E+14
762.68,4.77749000E+14
762.69,4.78510000E+14
762.70,4.81081000E+14
762.71,4.83712000E+14
762.72,4.85221000E+14
762.73,4.85615000E+14
762.74,4.85446000E+14
762.75,4.85126000E+14
762.76,4.84810000E+14
762.77,4.84557000E+14
762.78,4.84416000E+14
762.79,4.84399000E+14
762.80,4.84473000E+14
762.81,4.84640000E+14
762.82,4.84984000E+14
762.83,4.85551000E+14
762.84,4.86214000E+14
762.85,4.86753000E+14
762.86,4.87060000E+14
762.87,4.87185000E+14
762.88,4.87224000E+14
762.89,4.87236000E+14
762.90,4.87242000E+14
762.91,4.87244000E+14
762.92,4.87239000E+14
762.93,4.87226000E+14
762.94,4.87209000E+14
762.95,4.87194000E+14
762.96,4.87187000E+14
762.97,4.87187000E+14
762.98,4.87192000E+14
762.99,4.87196000E+14
763.00,4.87199000E+14
763.01,4.87195000E+14
763.02,4.87183000E+14
763.03,4.87166000E+14
763.04,4.87148000E+14
763.05,4.87128000E+14
763.06,4.87074000E+14
763.07,4.86900000E+14
763.08,4.86467000E+14
763.09,4.85683000E+14
763.10,4.84685000E+14
763.11,4.83884000E+14
763.12,4.83675000E+14
763.13,4.84023000E+14
763.14,4.84425000E+14
763.15,4.84359000E+14
763.16,4.83684000E+14
763.17,4.82597000E+14
763.18,4.81463000E+14
763.19,4.80760000E+14
763.20,4.80935000E+14
763.21,4.82061000E+14
763.22,4.83690000E+14
763.23,4.85198000E+14
763.24,4.86221000E+14
763.25,4.86754000E+14
763.26,4.86971000E+14
763.27,4.87040000E+14
763.28,4.87054000E+14
763.29,4.87047000E+14
763.30,4.87031000E+14
